t,value
1513110800,2
1513111114,5
1513111129,5
1513111133,5
1513111700,7
1513112014,10
1513112029,10
1513112033,10
1513112600,12
1513112914,15
1513112929,15
1513112933,15
1513113500,17
1513113814,20
1513113829,20
1513113833,20
1513114400,22
1513114714,25
1513114729,25
1513114733,25
1513115300,27
1513115614,30
1513115629,30
1513115633,30
1513116200,32
1513116514,35
1513116529,35
1513116533,35
1513117100,37
1513117414,40
1513117429,40
1513117433,40
1513118000,42
1513118314,45
1513118329,45
1513118333,45
1513118900,47
1513119214,50
1513119229,50
1513119233,50
1513119800,52
1513120114,55
1513120129,55
1513120133,55
1513120700,57
1513121014,60
1513121029,60
1513121033,60
1513121600,62
1513121914,65
1513121929,65
1513121933,65
1513122500,67
1513122814,70
1513122829,70
1513122833,70
1513123400,72
1513123714,75
1513123729,75
1513123733,75
1513124300,77
1513124614,80
1513124629,80
1513124633,80
1513125200,82
1513125514,85
1513125529,85
1513125533,85
1513126100,87
1513126414,90
1513126429,90
1513126433,90
1513127000,92
1513127314,95
1513127329,95
1513127333,95
1513127900,97
1513128214,100
1513128229,100
1513128233,100
1513128800,102
1513129114,105
1513129129,105
1513129133,105
1513129700,107
1513130014,110
1513130029,110
1513130033,110
1513130600,112
1513130914,115
1513130929,115
1513130933,115
1513131500,117
1513131814,120
1513131829,120
1513131833,120
1513132400,122
1513132714,125
1513132729,125
1513132733,125
1513133300,127
1513133614,130
1513133629,130
1513133633,130
1513134200,132
1513134514,135
1513134529,135
1513134533,135
1513135100,137
1513135414,140
1513135429,140
1513135433,140
1513136000,142
1513136314,145
1513136329,145
1513136333,145
1513136900,147
1513137214,150
1513137229,150
1513137233,150
1513137800,152
1513138114,155
1513138129,155
1513138133,155
1513138700,157
1513139014,160
1513139029,160
1513139033,160
1513139600,162
1513139914,165
1513139929,165
1513139933,165
1513140500,167
1513140814,170
1513140829,170
1513140833,170
1513141400,172
1513141714,175
1513141729,175
1513141733,175
1513142300,177
1513142614,180
1513142629,180
1513142633,180
1513143200,182
1513143514,185
1513143529,185
1513143533,185
1513144100,187
1513144414,190
1513144429,190
1513144433,190
1513145000,192
1513145314,195
1513145329,195
1513145333,195
1513145900,197
1513146214,200
1513146229,200
1513146233,200
1513146800,202
1513147114,205
1513147129,205
1513147133,205
1513147700,207
1513148014,210
1513148029,210
1513148033,210
1513148600,212
1513148914,215
1513148929,215
1513148933,215
1513149500,217
1513149814,219
1513149829,219
1513149833,219
1513150400,221
1513150714,224
1513150729,224
1513150733,224
1513151300,226
1513151614,229
1513151629,229
1513151633,229
1513152200,231
1513152514,234
1513152529,234
1513152533,234
1513153100,236
1513153414,239
1513153429,239
1513153433,239
1513154000,241
1513154314,244
1513154333,244
1513154329,244
1513154900,246
1513155214,249
1513155229,249
1513155233,249
1513155800,251
1513156114,254
1513156129,254
1513156133,254
1513156700,256
1513156997,259
1513157012,259
1513157016,259
1513157583,261
1513157897,264
1513157912,264
1513157916,264
1513158483,266
1513158797,269
1513158812,269
1513158816,269
1513159383,271
1513159697,274
1513159712,274
1513159716,274
1513160283,276
1513160597,279
1513160612,279
1513160616,279
1513161183,281
1513161497,284
1513161512,284
1513161516,284
1513162083,286
1513162397,289
1513162412,289
1513162416,289
1513162983,291
1513163297,294
1513163312,294
1513163316,294
1513163883,296
1513164197,299
1513164212,299
1513164216,299
1513164783,301
1513165097,304
1513165112,304
1513165116,304
1513165683,306
1513165997,309
1513166012,309
1513166016,309
1513166583,311
1513166897,314
1513166912,314
1513166916,314
1513167483,316
1513167797,319
1513167812,319
1513167816,319
1513168383,321
1513168697,324
1513168712,324
1513168716,324
1513169283,326
1513169597,329
1513169612,329
1513169616,329
1513170183,331
1513170497,334
1513170512,334
1513170516,334
1513171083,336
1513171397,339
1513171412,339
1513171416,339
1513171983,341
1513172297,344
1513172312,344
1513172316,344
1513172883,346
1513173197,349
1513173212,349
1513173216,349
1513173783,351
1513174097,354
1513174112,354
1513174116,354
1513174683,356
1513174997,359
1513175012,359
1513175016,359
1513175583,361
1513175897,364
1513175912,364
1513175916,364
1513176483,366
1513176797,369
1513176812,369
1513176816,369
1513177383,371
1513177697,374
1513177712,374
1513177716,374
1513178283,376
1513178597,379
1513178612,379
1513178616,379
1513179183,381
1513179497,384
1513179512,384
1513179516,384
1513180083,386
1513180397,389
1513180412,389
1513180416,389
1513180983,391
1513181297,394
1513181312,394
1513181316,394
1513181883,396
1513182197,399
1513182212,399
1513182216,399
1513182783,401
1513183097,404
1513183112,404
1513183116,404
1513183683,406
1513183997,409
1513184012,409
1513184016,409
1513184583,411
1513184897,414
1513184912,414
1513184916,414
1513185483,416
1513185797,419
1513185812,419
1513185816,419
1513186383,421
1513186697,424
1513186712,424
1513186716,424
1513187283,426
1513187597,429
1513187612,429
1513187616,429
1513188183,431
1513188497,434
1513188512,434
1513188516,434
1513189083,436
1513189397,439
1513189412,439
1513189416,439
1513189983,441
1513190297,444
1513190312,444
1513190316,444
1513190883,446
1513191197,449
1513191212,449
1513191216,449
1513191783,451
1513192097,451
1513192112,451
1513192116,451
1513192683,453
1513192997,455
1513193012,455
1513193016,455
1513193583,458
1513193897,460
1513193912,460
1513193916,460
1513194483,463
1513194797,465
1513194812,465
1513194816,465
1513195383,466
1513195697,465
1513195712,465
1513195716,465
1513196283,466
1513196597,465
1513196612,465
1513196616,465
